name,kampong,mukim,district,longitude,latitude,officiated,used,completed,capacity,estimated_cost,type,category,notes
Masjid Kg. Puni,Kg. Puni,Mukim Bangar,Temburong,4.689672633,115.0419382,1982,,1982,200,"80,000.00",masjid,Masjid Kampong,
Masjid Kg. Selangan,Kg. Selangan,Mukim Amo,Temburong,4.649152078,115.051696,1979,1979,1979,200,,masjid,Masjid Kampong,
Masjid Kg. Kilanas,Kg. Kilanas,Mukim Kilanas,Brunei Muara,4.870395975,114.8626896,,1968,1990,1700,"180,000.00",masjid,Masjid Kampong,
Balai Ibadat Kg. Melilas,Kg. Melilas,Mukim Melilas,Belait,4.257845545,114.660505,,,1994,40,"600,000.00",balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Merangking,Kg. Merangking,Mukim Bukit Sawat,Belait,4.522569356,114.5780094,,,,180,,balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Sukang,Kg. Sukang,Mukim Sukang,Belait,4.311367776,114.6245817,,,1994,40,"600,000.00",balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Mata-Mata,Kg. Mata-Mata,Mukim Gadong B,Brunei Muara,4.900171327,114.8957037,,1988,1988,550,"145,000.00",balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Peramu,Kg. Peramu,Mukim Peramu,Brunei Muara,4.881970273,114.9424812,,,,100,,balai ibadat,Balai Ibadat,
Balai Ibadat Mukim Saba,Kg. Saba Tengah,Mukim Saba,Brunei Muara,4.881731076,114.9468177,,1990,1989,500,"70,000.00",balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Sungai Pandan,Kg. Sungai Pandan B,Mukim Burong Pingai Ayer,Brunei Muara,4.8809898,114.9392031,,,1992,300,,balai ibadat,Balai Ibadat,
Balai Ibadat Nur Taqwa,Kg. Ujong Kelinik,Mukim Sungai Kebun,Brunei Muara,4.878078286,114.9469254,,,,100,,balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Semabat,Kg. Semabat,Mukim Bokok,Temburong,4.565887834,115.0751337,,1994,1994,200,"53,402.92",balai ibadat,Balai Ibadat,
Balai Ibadat Kg. Sibut,Kg. Sibut,Mukim Amo,Temburong,4.613603528,115.1074455,,1994,1994,160,"40,141.60",balai ibadat,Balai Ibadat,
Balai Ibadat Hajah Aminah,Kg. Long Mayan,Mukim Ukong,Tutong,4.56062129,114.6353442,1998,,1998,150,"67,000.00",balai ibadat,Balai Ibadat,
